ICAO,IATA,Name,City,Country,Altitude,Latitude,Longitude
KABI,ABI,ABILENE RGNL,ABILENE,USA,546,32.411,-99.682
KACK,ACK,NANTUCKET MEM,NANTUCKET,USA,15,41.253,-70.06
KACT,ACT,WACO RGNL,WACO,USA,158,31.611,-97.23
KACY,ACY,ATLANTIC CITY INTERNATIONAL,ATLANTIC CITY,USA,23,39.458,-74.577
KADM,ADM,ARDMORE MUNI,ARDMORE,USA,233,34.303,-97.019
KADW,ADW,ANDREWS AFB,CAMP SPRINGS,USA,86,38.811,-76.867
KAEX,AEX,ALEXANDRIA INTERNATIONAL,ALEXANDRIA,USA,28,31.327,-92.548
KAGS,AGS,AUGUSTA RGNL AT BUSH FLD,BUSH FIELD,USA,44,33.37,-81.964
KAKR,AKR,AKRON FULTON INTERNATIONAL,AKRON,USA,326,41.038,-81.467
KALB,ALB,ALBANY INTERNATIONAL,ALBANY,USA,87,42.748,-73.803
KALI,ALI,ALICE INTERNATIONAL,ALICE,USA,55,27.741,-98.027
KAMA,AMA,AMARILLO INTERNATIONAL,AMARILLO,USA,1100,35.219,-101.706
KANB,ANB,ANNISTON METROPOLITAN,ANNISTON,USA,187,33.588,-85.858
KAND,AND,ANDERSON RGNL,ANDERSEN,USA,239,34.495,-82.709
KAOO,AOO,ALTOONA BLAIR CO,ALTOONA,USA,459,40.296,-78.32
KAPG,APG,PHILLIPS AAF,ABERDEEN,USA,18,39.466,-76.169
KARA,ARA,ACADIANA REGIONAL,LOUISIANA,USA,8,30.038,-91.884
KART,ART,WATERTOWN INTERNATIONAL,WATERTOWN,USA,100,43.992,-76.022
KATL,ATL,THE WILLIAM B HARTSFIELD ATLANTA INTERNATIONAL,ATLANTA,USA,313,33.64,-84.427
KAUG,AUG,AUGUSTA STATE,AUGUSTA,USA,108,44.321,-69.797
KAUS,AUS,AUSTIN BERGSTROM INTERNATIONAL,AUSTIN,USA,166,30.194,-97.67
KBAB,BAB,BEALE AFB,MARYSVILLE,USA,35,39.136,-121.436
KBAD,BAD,BARKSDALE AFB,SHREVEPORT,USA,51,32.502,-93.663
KBCT,BCT,BOCA RATON,BOCA RATON,USA,4,26.378,-80.107
KBDE,BDE,BAUDETTE INTERNATIONAL,BAUDETTE,USA,332,48.728,-94.612
KBDL,BDL,BRADLEY INTERNATIONAL,WINDSOR LOCKS,USA,53,41.939,-72.683
KBDR,BDR,IGOR I SIKORSKY MEM,STRATFORD,USA,3,41.163,-73.126
KBED,BED,LAURENCE G HANSCOM FLD,BEDFORD,USA,41,42.47,-71.289
KBFI,BFI,BOEING FLD KING CO INTERNATIONAL,SEATTLE,USA,6,47.53,-122.302
KBFL,BFL,MEADOWS FLD,BAKERSFIELD,USA,155,35.433,-119.057
